M,N,C,D,T,seed,formulation,mipgap,runtime,bnbcnt,objval_LP,objbnd,objval
5,2,2,10,2,10,TEOC,8.15E-05,429.7410731,28263,297.7294076,299.8018602,299.8262882
5,2,2,10,2,10,TEOM,0.002644974184,10800.09668,639421,212.0260908,299.0332393,299.826272
5,2,2,10,2,10,TEOR,6.72E-05,5075.196502,441041,280.4310923,299.8061423,299.8262883
5,2,2,10,3,1,TEOC,0,2985.619784,24993,298.7847671,300.9698003,300.9698003
5,2,2,10,3,1,TEOM,0,6441.18874,167148,221.1906649,300.9698326,300.9698326
5,2,2,10,3,1,TEOR,1.31E-07,4517.513512,95186,286.742319,300.9697931,300.9698326
5,2,2,10,3,2,TEOC,7.03E-08,1744.663228,34367,298.6102607,300.5808338,300.5808549
5,2,2,10,3,2,TEOM,5.69E-08,8403.054496,236603,221.7891227,300.5808378,300.5808549
5,2,2,10,3,2,TEOR,1.98E-08,8344.26733,609496,287.6222145,300.5808489,300.5808549
5,2,2,10,3,3,TEOC,0,1606.845144,25621,297.4573025,299.5135009,299.5135009
5,2,2,10,3,3,TEOM,5.28E-08,6288.212633,81117,223.4853638,299.5135201,299.5135359
5,2,2,10,3,3,TEOR,0,3105.486613,68199,284.8632894,299.5135359,299.5135359
5,2,2,10,3,4,TEOC,0,944.9117918,24221,297.9605507,299.8555492,299.8555492
5,2,2,10,3,4,TEOM,0,7732.015666,299029,219.9513357,299.8555506,299.8555506
5,2,2,10,3,4,TEOR,0,6158.904896,241012,287.347746,299.8555506,299.8555506
5,2,2,10,3,5,TEOC,0,1532.302206,30108,298.4514105,300.8146081,300.8146081
5,2,2,10,3,5,TEOM,5.39E-08,8302.82323,190730,216.9483351,300.8145981,300.8146143
5,2,2,10,3,5,TEOR,0,6145.506007,189267,287.1329466,300.8146143,300.8146143
5,2,2,10,3,6,TEOC,0,2642.760182,24438,298.2956478,300.6063542,300.6063542
5,2,2,10,3,6,TEOM,0.001192833426,10800.06596,396687,217.0932532,300.2477468,300.6063201
5,2,2,10,3,6,TEOR,0.002276643863,10800.08159,630539,284.6577486,299.9219883,300.6063619
5,2,2,10,3,7,TEOC,0,1350.689013,24670,298.6632123,300.827381,300.827381
5,2,2,10,3,7,TEOM,0,6719.509133,139185,222.2455279,300.8273848,300.8273848
5,2,2,10,3,7,TEOR,8.69E-08,5549.602747,143961,288.3167825,300.8273587,300.8273848
5,2,2,10,3,8,TEOC,0,3537.174524,37788,298.1130227,300.5296266,300.5296266
5,2,2,10,3,8,TEOM,6.39E-08,5858.597509,119042,216.766841,300.5296074,300.5296266
5,2,2,10,3,8,TEOR,1.31E-09,6481.135578,342118,287.5730916,300.5296262,300.5296266
5,2,2,10,3,9,TEOC,0,864.187876,8923,299.3195404,301.4408467,301.4408467
5,2,2,10,3,9,TEOM,0,6154.922559,180046,219.7632729,301.4409219,301.4409219
5,2,2,10,3,9,TEOR,0,2808.903677,151922,286.9545737,301.4409219,301.4409219
5,2,2,10,3,10,TEOC,0,2249.769523,30070,299.3800198,301.8988828,301.8988828
5,2,2,10,3,10,TEOM,0.001441968412,10800.0535,750274,218.3986791,301.4635816,301.8989103
5,2,2,10,3,10,TEOR,8.58E-05,10521.18686,710271,284.7297352,301.8730154,301.8989269
5,2,2,10,5,1,TEOC,0,5968.937645,22015,300.3510953,302.3806456,302.3806456
5,2,2,10,5,1,TEOM,0.006238827038,10800.05831,62091,227.0360849,300.4941671,302.3806678
5,2,2,10,5,1,TEOR,0.005795618937,10800.09115,148008,288.6123074,300.6281898,302.380673
5,2,2,10,5,2,TEOC,0,5914.786837,37818,300.1562319,302.609167,302.609167
5,2,2,10,5,2,TEOM,0.009553719875,10800.06397,49187,226.7653956,299.7181121,302.6091552
5,2,2,10,5,2,TEOR,0.003251782907,10800.08234,134834,289.6438296,301.625119,302.6091382
5,2,2,10,5,3,TEOC,6.68E-05,8152.399478,46823,299.8049897,302.1175327,302.1377273
5,2,2,10,5,3,TEOM,0.00847099166,10800.05796,56447,227.2603036,299.5783081,302.1377141
5,2,2,10,5,3,TEOR,0,9650.44148,169358,288.4274555,302.1377273,302.1377273
5,2,2,10,5,4,TEOC,0,4202.345318,22195,299.9209439,301.9251672,301.9251672
5,2,2,10,5,4,TEOM,0.008499215294,10800.10186,105273,224.2781655,299.740938,302.3103387
5,2,2,10,5,4,TEOR,3.80E-08,6828.914988,111428,290.1934878,301.9251632,301.9251747
5,2,2,10,5,5,TEOC,0,5502.923678,28119,300.0839647,302.4374688,302.4374688
5,2,2,10,5,5,TEOM,0.01033982998,10800.04576,75876,224.5694202,299.3103196,302.4374717
5,2,2,10,5,5,TEOR,0.005523597947,10800.05884,114510,290.2518096,300.7669355,302.4374786
5,2,2,10,5,6,TEOC,0,5399.180827,23830,299.931646,302.1600241,302.1600241
